SNO,CropType,Temp,SoilMoisture,Irrigate
972,Millet,30.4,575,0
973,Banana,24.5,617,0
974,Rice,28.9,261,1
975,Rice,30.8,677,0
976,Rice,33.2,833,0
977,Cotton,29.6,190,0
978,Rice,26.3,234,0
979,Tomato,26.0,255,0
980,Millet,25.1,455,0
981,Millet,34.4,167,1
982,Banana,26.9,706,0
983,Rice,29.9,735,0
984,Rice,24.3,299,0
985,Rice,24.6,229,0
986,Maize,29.8,272,1
987,Rice,27.7,426,0
988,Maize,31.7,793,0
989,Rice,25.2,531,0
990,Tomato,31.6,467,0
991,Banana,25.0,815,0
992,Banana,33.7,380,1
993,Tomato,28.6,269,1
994,Cotton,24.7,505,0
995,Maize,32.5,383,1
996,Tomato,34.9,286,1
997,Tomato,30.3,632,0
998,Cotton,25.8,356,0
999,Banana,28.2,600,0
1000,Maize,26.1,325,0
1001,Millet,27.1,513,0
1002,Rice,27.6,215,0
1003,Millet,25.0,370,0
1004,Tomato,34.6,699,0
1005,Tomato,32.8,372,0
1006,Cotton,25.1,153,0
1007,Banana,30.3,259,1
1008,Tomato,24.4,275,0
1009,Tomato,34.4,341,0
1010,Cotton,25.6,841,0
1011,Tomato,32.7,742,0
1012,Maize,28.9,774,0
1013,Tomato,33.0,418,0
1014,Maize,29.1,151,1
1015,Millet,30.6,555,0
1016,Tomato,31.8,821,0
1017,Cotton,29.8,564,0
1018,Banana,29.5,459,0
1019,Rice,25.0,468,0
1020,Tomato,25.2,399,0
1021,Maize,29.2,647,0
1022,Cotton,32.5,164,1
1023,Banana,31.1,829,0
1024,Millet,28.0,533,0
1025,Maize,25.5,600,0
1026,Millet,25.3,251,0
1027,Maize,28.4,205,1
1028,Millet,27.3,257,0
1029,Banana,27.9,285,1
1030,Maize,34.7,599,0
1031,Rice,33.6,399,1
1032,Rice,30.6,545,0
1033,Maize,29.4,308,1
1034,Millet,30.9,701,0
1035,Millet,30.5,231,1
1036,Maize,24.3,394,0
1037,Tomato,25.8,581,0
1038,Rice,33.9,339,1
1039,Millet,25.9,423,0
1040,Rice,26.9,628,0
1041,Rice,30.7,250,1
1042,Rice,31.2,829,0
1043,Banana,32.5,269,1
1044,Millet,30.5,660,0
1045,Maize,26.4,756,0
1046,Maize,26.4,779,0
1047,Banana,27.3,421,1
1048,Maize,29.2,550,0
1049,Rice,30.4,377,1
1050,Maize,29.8,803,0
1051,Rice,29.3,164,1
1052,Millet,33.8,447,0
1053,Cotton,27.1,174,0
1054,Maize,32.2,187,1
1055,Maize,26.5,829,0
1056,Banana,29.8,202,1
1057,Millet,33.2,501,0
1058,Tomato,28.4,544,0
1059,Maize,31.9,651,0
1060,Rice,26.4,331,0
1061,Banana,29.2,840,0
1062,Cotton,29.0,683,0
1063,Rice,29.1,413,0
1064,Maize,26.5,545,0
1065,Cotton,31.7,828,0
1066,Millet,27.3,439,0
1067,Tomato,29.7,618,0
1068,Rice,32.7,242,1
1069,Tomato,30.9,386,0
1070,Tomato,29.2,415,0
1071,Maize,30.0,449,0
1072,Tomato,33.5,489,0
1073,Banana,25.8,222,0
1074,Banana,32.1,265,1
1075,Banana,33.5,483,0
1076,Rice,27.4,268,0
1077,Tomato,28.2,725,0
1078,Millet,31.1,335,1
1079,Cotton,26.6,164,0
1080,Rice,26.6,185,0
1081,Millet,27.9,165,0
1082,Rice,30.5,669,0
1083,Cotton,27.8,398,0
1084,Maize,24.2,631,0
1085,Banana,34.1,432,1
1086,Maize,29.2,377,1
1087,Rice,27.9,488,0
1088,Millet,28.9,760,0
1089,Rice,35.0,834,0
1090,Millet,25.4,239,0
1091,Banana,33.2,686,0
1092,Millet,33.5,785,0
1093,Millet,30.8,668,0
1094,Cotton,30.7,578,0
1095,Cotton,29.8,792,0
1096,Banana,33.9,407,1
1097,Tomato,32.6,231,1
1098,Rice,34.0,721,0
1099,Millet,27.3,678,0
1100,Banana,26.1,618,0
1101,Cotton,29.3,621,0
1102,Maize,28.2,472,0
1103,Millet,29.3,177,0
1104,Rice,32.0,706,0
1105,Cotton,30.2,700,0
1106,Tomato,28.0,256,1
1107,Rice,32.2,799,0
1108,Rice,28.3,454,0
1109,Maize,34.6,222,1
1110,Cotton,25.3,685,0
1111,Cotton,29.3,554,0
1112,Cotton,27.3,552,0
1113,Rice,24.3,768,0
1114,Cotton,29.6,560,0
1115,Millet,35.0,640,0
1116,Banana,30.2,540,0
1117,Cotton,29.0,315,0
1118,Maize,32.5,172,1
1119,Cotton,31.1,361,0
1120,Maize,27.8,680,0
1121,Cotton,33.1,412,0
1122,Banana,31.9,815,0
1123,Tomato,32.8,701,0
1124,Cotton,25.4,249,0
1125,Rice,25.0,358,0
1126,Rice,25.0,590,0
1127,Banana,26.1,576,0
1128,Tomato,33.7,568,0
1129,Rice,32.0,271,1
1130,Tomato,26.9,460,0
1131,Millet,31.9,831,0
1132,Rice,33.8,151,1
1133,Banana,33.2,683,0
1134,Rice,30.4,545,0
1135,Cotton,27.3,285,0
1136,Cotton,34.9,184,1
1137,Cotton,27.8,182,0
1138,Rice,33.8,646,0
1139,Maize,30.2,819,0
1140,Rice,33.9,155,1
1141,Cotton,31.2,846,0
1142,Cotton,28.8,271,0
1143,Maize,25.0,257,0
1144,Banana,30.2,625,0
1145,Cotton,34.6,272,1
1146,Tomato,31.3,777,0
1147,Rice,24.4,428,0
1148,Millet,25.9,351,0
1149,Millet,31.7,513,0
1150,Rice,32.4,820,0
1151,Tomato,27.0,573,0
1152,Maize,24.3,204,0
1153,Millet,35.0,551,0
1154,Rice,27.6,284,0
1155,Tomato,29.2,175,1
1156,Maize,24.7,252,0
1157,Cotton,28.3,709,0
1158,Tomato,32.4,418,0
1159,Cotton,32.2,226,1
1160,Maize,32.6,669,0
1161,Rice,25.1,847,0
1162,Maize,25.6,446,0
1163,Rice,30.6,704,0
1164,Tomato,24.2,318,0
1165,Tomato,34.2,293,1
1166,Cotton,27.0,265,0
1167,Rice,31.6,300,1
1168,Rice,33.8,587,0
1169,Cotton,33.7,531,0
1170,Tomato,26.5,387,0
1171,Tomato,27.5,560,0
1172,Millet,30.6,201,1
1173,Rice,29.2,745,0
1174,Rice,32.4,260,1
1175,Rice,24.6,250,0
1176,Tomato,29.4,181,1
1177,Millet,30.8,707,0
1178,Tomato,33.5,543,0
1179,Banana,26.4,454,0
1180,Tomato,27.9,791,0
1181,Cotton,25.1,286,0
1182,Maize,31.2,465,0
1183,Banana,30.8,524,0
1184,Millet,25.3,511,0
1185,Banana,30.2,556,0
1186,Cotton,31.2,420,0
1187,Millet,30.3,776,0
1188,Millet,28.2,566,0
1189,Maize,32.7,455,0
1190,Rice,25.3,573,0
1191,Tomato,34.0,162,1
1192,Rice,32.3,846,0
1193,Banana,31.9,544,0
1194,Rice,27.7,229,0
1195,Tomato,28.1,530,0
1196,Millet,30.2,750,0
1197,Banana,28.5,506,0
1198,Cotton,29.1,451,0
1199,Cotton,26.0,240,0
1200,Maize,32.2,555,0
1201,Maize,31.0,458,0
1202,Maize,32.4,759,0
1203,Tomato,24.8,419,0
1204,Cotton,31.5,379,0
1205,Banana,24.1,339,0
1206,Maize,34.1,464,0
1207,Millet,27.9,307,0
1208,Banana,27.2,521,0
1209,Banana,24.9,702,0
1210,Maize,25.9,173,0
1211,Rice,31.7,348,1
1212,Tomato,32.7,152,1
1213,Millet,27.4,521,0
1214,Tomato,33.2,194,1
1215,Banana,29.0,490,0
1216,Banana,29.4,492,0
1217,Banana,29.0,162,1
1218,Banana,32.0,378,1
1219,Tomato,34.8,169,1
1220,Tomato,27.5,420,0
1221,Tomato,34.4,219,1
1222,Maize,31.8,391,1
1223,Millet,25.1,655,0
1224,Millet,25.3,282,0
1225,Banana,28.7,519,0
1226,Millet,26.1,604,0
1227,Cotton,28.5,749,0
1228,Rice,27.5,758,0
1229,Maize,27.6,181,0
1230,Banana,28.6,337,1
1231,Cotton,31.0,563,0
1232,Tomato,31.0,285,1
1233,Millet,34.8,173,1
1234,Banana,27.2,528,0
1235,Tomato,32.7,727,0
1236,Maize,34.7,806,0
1237,Cotton,34.8,499,0
1238,Maize,34.6,722,0
1239,Cotton,34.8,729,0
1240,Millet,26.0,567,0
1241,Cotton,24.9,548,0
1242,Banana,34.8,472,0
1243,Cotton,27.0,160,0
1244,Maize,32.6,456,0
1245,Banana,27.5,601,0
1246,Tomato,27.3,227,1
1247,Rice,25.3,695,0
1248,Tomato,28.9,353,0
1249,Maize,27.2,152,0
1250,Millet,24.5,309,0
1251,Maize,33.9,591,0
1252,Rice,30.8,488,0
1253,Cotton,25.6,243,0
1254,Tomato,34.6,551,0
1255,Banana,27.5,248,1
1256,Cotton,27.6,706,0
1257,Maize,34.1,274,1
1258,Tomato,26.4,314,0
1259,Banana,31.4,660,0
1260,Millet,26.4,706,0
1261,Tomato,33.9,311,0
1262,Rice,31.5,662,0
1263,Rice,34.1,274,1
1264,Maize,26.7,798,0
1265,Maize,32.1,474,0
1266,Cotton,25.2,776,0
1267,Tomato,32.8,526,0
1268,Millet,31.0,357,0
1269,Banana,28.5,398,1
1270,Rice,32.3,647,0
1271,Cotton,28.4,604,0
1272,Millet,27.9,423,0
1273,Cotton,26.2,584,0
1274,Rice,26.5,361,0
1275,Cotton,29.0,191,0
1276,Rice,27.3,332,0
1277,Banana,31.3,169,1
1278,Maize,34.9,170,1
1279,Millet,31.2,584,0
1280,Tomato,24.2,575,0
1281,Banana,33.2,336,1
1282,Maize,30.8,208,1
1283,Maize,31.8,443,0
1284,Tomato,27.6,708,0
1285,Cotton,24.4,666,0
1286,Cotton,25.7,277,0
1287,Maize,33.9,830,0
1288,Cotton,24.3,637,0
1289,Millet,26.3,407,0
1290,Rice,26.3,522,0
1291,Banana,29.0,250,1
1292,Millet,30.9,719,0
1293,Tomato,29.5,251,1
1294,Banana,24.7,667,0
1295,Rice,30.8,533,0
1296,Banana,31.5,203,1
1297,Tomato,32.7,486,0
1298,Millet,32.9,760,0
1299,Tomato,28.6,231,1
1300,Banana,27.0,299,1
1301,Millet,27.9,471,0
1302,Maize,25.7,261,0
1303,Banana,32.8,152,1
1304,Cotton,28.5,281,0
1305,Maize,27.3,662,0
1306,Banana,26.5,646,0
1307,Banana,24.3,498,0
1308,Maize,28.6,449,0
1309,Millet,26.8,502,0
1310,Millet,34.5,361,0
1311,Millet,27.4,791,0
1312,Millet,28.6,472,0
1313,Rice,29.8,505,0
1314,Tomato,32.4,297,1
1315,Cotton,34.6,504,0
1316,Tomato,29.5,811,0
1317,Banana,31.2,539,0
1318,Maize,30.7,375,1
1319,Millet,30.9,254,1
1320,Maize,33.6,334,1
1321,Millet,29.5,217,0
1322,Banana,32.4,344,1
1323,Cotton,29.1,324,0
1324,Rice,27.9,208,0
1325,Cotton,26.2,696,0
1326,Tomato,26.0,434,0
1327,Rice,24.6,176,0
1328,Cotton,32.4,817,0
1329,Maize,34.6,786,0
1330,Cotton,32.4,770,0
1331,Cotton,24.1,753,0
1332,Tomato,30.4,447,0
1333,Maize,25.6,686,0
1334,Cotton,29.4,297,0
1335,Rice,25.5,227,0
1336,Cotton,29.4,825,0
1337,Banana,34.7,255,1
1338,Rice,34.7,204,1
1339,Banana,29.4,387,1
1340,Millet,24.1,341,0
1341,Maize,28.1,169,1
1342,Tomato,26.7,509,0
1343,Millet,32.7,573,0
1344,Tomato,31.6,793,0
1345,Maize,26.4,766,0
1346,Banana,31.9,535,0
1347,Millet,25.7,432,0
1348,Millet,33.1,622,0
1349,Maize,27.8,700,0
1350,Tomato,29.2,536,0
1351,Tomato,28.8,762,0
1352,Tomato,30.2,550,0
1353,Millet,33.3,454,0
1354,Banana,26.8,349,1
1355,Millet,30.8,810,0
1356,Tomato,26.6,826,0
1357,Millet,29.4,668,0
1358,Banana,26.6,150,1
1359,Banana,31.1,716,0
1360,Rice,27.8,256,0
1361,Millet,33.8,180,1
1362,Rice,26.4,484,0
1363,Millet,32.2,606,0
1364,Rice,25.6,804,0
1365,Rice,32.4,559,0
1366,Banana,34.2,673,0
1367,Rice,24.3,350,0
1368,Banana,24.0,537,0
1369,Rice,33.4,481,0
1370,Cotton,31.9,167,1
1371,Maize,27.5,409,0
1372,Cotton,33.0,591,0
1373,Rice,29.6,288,1
1374,Rice,25.6,743,0
1375,Banana,28.2,810,0
1376,Tomato,30.2,707,0
1377,Maize,32.7,750,0
1378,Maize,26.9,412,0
1379,Millet,34.0,494,0
1380,Cotton,29.3,452,0
1381,Maize,24.8,437,0
1382,Banana,26.5,218,1
1383,Banana,31.2,775,0
1384,Tomato,26.0,286,0
1385,Banana,29.2,288,1
1386,Cotton,26.4,452,0
1387,Rice,31.9,415,0
1388,Cotton,34.2,260,1
1389,Banana,32.1,812,0
1390,Millet,29.0,215,0
1391,Rice,29.2,728,0
1392,Rice,34.3,554,0
1393,Rice,31.1,614,0
1394,Rice,27.5,782,0
1395,Maize,27.1,846,0
1396,Maize,27.1,628,0
1397,Maize,26.9,377,0
1398,Banana,26.8,475,0
1399,Millet,27.6,657,0
1400,Maize,24.5,303,0
1401,Maize,26.2,578,0
1402,Tomato,28.1,566,0
1403,Cotton,34.8,332,1
1404,Rice,29.9,702,0
1405,Cotton,29.4,193,0
1406,Rice,24.1,274,0
1407,Millet,28.0,472,0
1408,Rice,31.3,580,0
1409,Banana,30.8,349,1
1410,Millet,27.2,450,0
1411,Maize,33.7,649,0
1412,Banana,30.6,312,1
1413,Cotton,26.5,688,0
1414,Rice,33.6,207,1
1415,Rice,26.6,620,0
1416,Cotton,24.4,311,0
1417,Tomato,27.2,403,0
1418,Tomato,24.9,325,0
1419,Cotton,24.8,540,0
1420,Tomato,26.6,509,0
1421,Millet,30.5,665,0
1422,Cotton,26.0,164,0
1423,Tomato,34.5,507,0
1424,Rice,25.5,247,0
1425,Millet,26.1,717,0
1426,Cotton,31.7,755,0
1427,Cotton,27.4,785,0
1428,Millet,32.6,542,0
1429,Maize,28.6,637,0
1430,Rice,25.6,336,0
1431,Cotton,34.5,295,1
1432,Millet,29.2,196,0
1433,Cotton,27.5,672,0
1434,Rice,25.0,306,0
1435,Maize,26.5,505,0
1436,Tomato,34.6,227,1
1437,Millet,27.5,706,0
1438,Tomato,29.5,369,0
1439,Tomato,30.9,175,1
1440,Rice,34.7,461,0
1441,Rice,24.4,153,0
1442,Rice,31.3,224,1
1443,Tomato,33.8,321,0
1444,Maize,26.3,816,0
1445,Maize,32.3,657,0
1446,Cotton,26.3,539,0
1447,Tomato,33.2,782,0
1448,Millet,34.8,749,0
1449,Cotton,33.6,795,0
1450,Tomato,34.8,517,0
1451,Cotton,30.5,540,0
1452,Rice,28.7,625,0
1453,Tomato,34.6,382,0
1454,Maize,25.6,250,0
1455,Cotton,33.0,529,0
1456,Millet,28.0,447,0
1457,Rice,28.2,841,0
1458,Maize,30.5,778,0
1459,Cotton,27.3,166,0
1460,Tomato,32.5,602,0
1461,Banana,33.3,520,0
1462,Maize,25.4,202,0
1463,Millet,32.4,223,1
1464,Cotton,33.4,371,0
1465,Millet,32.5,784,0
1466,Tomato,29.1,631,0
1467,Maize,24.8,642,0
1468,Tomato,25.7,556,0
1469,Rice,26.5,333,0
1470,Maize,33.9,685,0
1471,Rice,28.7,538,0
1472,Cotton,28.2,184,0
1473,Maize,30.0,330,1
1474,Rice,29.8,466,0
1475,Maize,33.3,507,0
1476,Rice,33.8,679,0
1477,Millet,26.8,744,0
1478,Tomato,24.3,617,0
1479,Maize,29.9,368,1
1480,Banana,29.8,718,0
1481,Cotton,27.4,572,0
1482,Tomato,31.7,402,0
1483,Maize,34.7,844,0
1484,Maize,30.9,248,1
1485,Cotton,26.7,732,0
1486,Maize,26.5,205,0
1487,Maize,32.4,591,0
1488,Maize,34.0,514,0
1489,Banana,28.4,332,1
1490,Cotton,27.0,152,0
1491,Tomato,30.1,552,0
1492,Banana,30.1,474,0
1493,Millet,34.3,289,1
1494,Rice,32.6,848,0
1495,Rice,26.4,808,0
1496,Maize,25.4,578,0
1497,Cotton,26.9,731,0
1498,Maize,24.6,235,0
1499,Cotton,33.9,326,1
1500,Cotton,30.8,524,0
1501,Millet,32.1,263,1
1502,Cotton,31.5,753,0
1503,Tomato,28.6,773,0
1504,Cotton,34.9,306,1
1505,Maize,31.2,151,1
1506,Cotton,31.5,200,1
1507,Millet,24.3,506,0
1508,Millet,27.5,779,0
1509,Rice,29.0,357,1
1510,Tomato,27.7,402,0
1511,Maize,33.8,732,0
1512,Millet,24.6,342,0
1513,Cotton,31.2,741,0
1514,Cotton,33.8,360,0
1515,Tomato,24.6,606,0
1516,Millet,29.3,345,0
1517,Cotton,30.2,761,0
1518,Millet,25.2,818,0
1519,Banana,34.5,296,1
1520,Tomato,29.2,370,0
1521,Millet,34.2,166,1
1522,Cotton,25.0,292,0
1523,Millet,26.2,375,0
1524,Banana,24.7,325,0
1525,Maize,32.2,674,0
1526,Rice,31.1,645,0
1527,Banana,28.9,410,1
1528,Cotton,31.3,643,0
1529,Millet,34.1,544,0
1530,Rice,32.7,455,0
1531,Tomato,30.9,365,0
1532,Rice,28.4,402,0
1533,Tomato,34.4,709,0
1534,Tomato,30.9,599,0
1535,Millet,28.9,479,0
1536,Millet,34.5,614,0
1537,Cotton,24.7,447,0
1538,Rice,24.6,437,0
1539,Banana,29.4,719,0
1540,Banana,27.6,209,1
1541,Banana,34.6,371,1
1542,Banana,29.5,397,1
1543,Maize,34.2,463,0
1544,Millet,28.5,823,0
1545,Rice,25.6,288,0
1546,Millet,33.8,610,0
1547,Maize,28.8,839,0
1548,Millet,30.1,514,0
1549,Millet,34.6,506,0
1550,Tomato,30.7,684,0
1551,Cotton,35.0,399,0
1552,Millet,27.0,603,0
1553,Banana,26.0,408,0
1554,Tomato,34.2,562,0
1555,Rice,29.2,569,0
1556,Maize,33.5,292,1
1557,Rice,25.9,330,0
1558,Tomato,25.1,547,0
1559,Banana,24.5,704,0
1560,Rice,27.2,443,0
1561,Banana,31.0,647,0
1562,Tomato,26.6,213,0
1563,Maize,25.5,657,0
1564,Rice,31.6,491,0
1565,Banana,24.9,817,0
1566,Maize,30.9,717,0
1567,Rice,28.4,679,0
1568,Tomato,28.6,771,0
1569,Tomato,34.1,279,1
1570,Banana,33.7,572,0
1571,Maize,30.7,561,0
1572,Maize,31.6,681,0
1573,Tomato,27.9,194,1
1574,Cotton,31.1,557,0
1575,Cotton,31.5,230,1
1576,Cotton,25.0,168,0
1577,Rice,24.3,666,0
1578,Rice,29.0,324,1
1579,Millet,29.3,844,0
1580,Tomato,27.1,647,0
1581,Tomato,28.3,784,0
1582,Cotton,24.9,437,0
1583,Tomato,27.3,685,0
1584,Maize,30.2,454,0
1585,Banana,27.6,516,0
1586,Tomato,31.7,810,0
1587,Rice,33.3,471,0
1588,Millet,33.6,551,0
1589,Tomato,26.1,341,0
1590,Rice,28.8,210,1
1591,Rice,28.5,386,1
1592,Maize,24.3,238,0
1593,Cotton,26.0,468,0
1594,Banana,31.8,408,1
1595,Rice,31.6,624,0
1596,Millet,31.4,494,0
1597,Banana,34.5,446,1
1598,Millet,33.8,608,0
1599,Banana,29.6,262,1
1600,Rice,27.8,359,0
1601,Banana,24.2,423,0
1602,Tomato,24.0,430,0
1603,Millet,28.3,818,0
1604,Banana,33.7,291,1
1605,Tomato,27.0,338,0
1606,Tomato,24.9,176,0
1607,Millet,25.4,629,0
1608,Cotton,28.8,816,0
1609,Millet,34.0,397,0
1610,Millet,25.5,244,0
1611,Cotton,30.8,834,0
1612,Cotton,34.5,241,1
1613,Millet,29.3,634,0
1614,Tomato,26.8,179,0
1615,Rice,31.3,623,0
1616,Banana,31.1,479,0
1617,Banana,30.6,715,0
1618,Rice,27.0,185,0
1619,Banana,34.9,819,0
1620,Millet,34.7,705,0
1621,Tomato,34.1,480,0
1622,Tomato,30.2,201,1
1623,Rice,28.0,741,0
1624,Millet,34.6,595,0
1625,Rice,29.9,628,0
1626,Maize,31.1,710,0
1627,Rice,30.6,309,1
1628,Rice,32.5,792,0
1629,Tomato,32.1,168,1
1630,Maize,32.5,655,0
1631,Banana,24.4,273,0
1632,Millet,26.1,581,0
1633,Rice,24.1,337,0
1634,Tomato,29.9,511,0
1635,Tomato,32.3,248,1
1636,Cotton,33.8,726,0
1637,Tomato,28.6,631,0
1638,Rice,26.9,711,0
1639,Cotton,30.5,502,0
1640,Millet,28.5,192,0
1641,Maize,24.0,602,0
1642,Rice,33.5,806,0
1643,Cotton,28.7,300,0
1644,Rice,26.3,500,0
1645,Rice,33.2,170,1
1646,Millet,28.0,735,0
1647,Millet,28.2,658,0
1648,Millet,31.5,694,0
1649,Banana,28.0,711,0
1650,Maize,29.3,246,1
1651,Maize,30.2,441,0
1652,Maize,29.4,251,1
1653,Millet,28.2,387,0
1654,Millet,31.6,766,0
1655,Maize,30.6,374,1
1656,Rice,33.8,152,1
1657,Maize,25.7,395,0
1658,Banana,32.9,748,0
1659,Cotton,28.0,261,0
1660,Maize,27.9,839,0
1661,Tomato,32.3,256,1
1662,Tomato,34.9,559,0
1663,Rice,28.9,215,1
1664,Maize,33.7,162,1
1665,Cotton,24.3,798,0
1666,Maize,31.5,159,1
1667,Tomato,26.1,279,0
1668,Rice,33.5,260,1
1669,Rice,31.5,418,0
1670,Maize,31.2,184,1
1671,Maize,24.7,675,0
1672,Cotton,33.3,431,0
1673,Banana,24.3,207,0
1674,Cotton,24.2,500,0
1675,Maize,31.1,824,0
1676,Cotton,29.9,771,0
1677,Millet,26.8,641,0
1678,Tomato,28.8,317,0
1679,Maize,32.8,487,0
1680,Banana,26.8,377,1
1681,Banana,29.0,256,1
1682,Rice,28.0,181,0
1683,Maize,28.1,570,0
1684,Tomato,32.9,529,0
1685,Maize,33.0,337,1
1686,Rice,24.2,311,0
1687,Cotton,27.4,164,0
1688,Rice,25.0,277,0
1689,Tomato,25.9,671,0
1690,Banana,29.4,239,1
1691,Rice,31.7,193,1
1692,Millet,27.4,697,0
1693,Millet,30.2,710,0
1694,Cotton,25.1,800,0
1695,Rice,28.3,162,1
1696,Banana,34.9,671,0
1697,Banana,29.5,455,0
1698,Cotton,27.9,231,0
1699,Banana,30.0,247,1
1700,Tomato,27.2,172,1
1701,Millet,27.0,469,0
1702,Rice,25.7,524,0
1703,Banana,34.0,240,1
1704,Banana,33.5,584,0
1705,Rice,30.0,329,1
1706,Banana,32.7,499,0
1707,Maize,29.5,280,1
1708,Millet,33.9,722,0
1709,Tomato,24.9,181,0
1710,Rice,28.4,703,0
1711,Cotton,29.8,431,0
1712,Tomato,32.9,536,0
1713,Banana,32.0,526,0
1714,Millet,34.2,608,0
1715,Millet,33.2,290,1
1716,Millet,24.8,385,0
1717,Banana,25.6,658,0
1718,Banana,27.2,565,0
1719,Maize,30.8,420,0
1720,Millet,33.9,507,0
1721,Rice,33.7,388,1
1722,Cotton,34.5,682,0
1723,Banana,24.8,491,0
1724,Maize,28.1,749,0
1725,Tomato,25.9,151,0
1726,Millet,25.9,218,0
1727,Tomato,26.2,762,0
1728,Millet,25.3,655,0
1729,Millet,32.4,321,1
1730,Millet,28.7,358,0
1731,Millet,33.3,585,0
1732,Millet,28.6,730,0
1733,Millet,27.9,465,0
1734,Millet,33.3,506,0
1735,Tomato,30.8,674,0
1736,Banana,33.8,578,0
1737,Rice,26.9,346,0
1738,Maize,25.5,758,0
1739,Banana,31.5,308,1
1740,Tomato,32.8,242,1
1741,Millet,24.5,211,0
1742,Cotton,32.3,601,0
1743,Banana,32.7,196,1
1744,Maize,31.4,231,1
1745,Banana,29.0,157,1
1746,Rice,29.6,324,1
1747,Tomato,30.9,673,0
1748,Banana,24.9,610,0
1749,Rice,25.6,784,0
1750,Cotton,25.0,327,0
1751,Millet,34.4,774,0
1752,Cotton,32.2,642,0
1753,Cotton,33.1,704,0
1754,Banana,30.0,462,0
1755,Millet,33.4,717,0
1756,Cotton,28.2,719,0
1757,Millet,33.4,512,0
1758,Banana,33.4,427,1
1759,Cotton,27.3,156,0
1760,Rice,29.5,436,0
1761,Maize,30.8,509,0
1762,Millet,25.5,491,0
1763,Millet,35.0,287,1
1764,Banana,33.4,716,0
1765,Millet,28.1,222,0
1766,Cotton,27.7,154,0
1767,Cotton,28.9,777,0
1768,Maize,32.1,348,1
1769,Tomato,33.4,226,1
1770,Cotton,26.1,850,0
1771,Millet,34.2,730,0
1772,Banana,33.9,790,0
1773,Rice,27.8,219,0
1774,Rice,26.1,581,0
1775,Cotton,33.4,770,0
1776,Banana,24.2,333,0
1777,Cotton,24.4,571,0
1778,Millet,33.2,313,1
1779,Banana,34.6,821,0
1780,Banana,31.5,190,1
1781,Millet,30.7,634,0
1782,Cotton,28.0,351,0
1783,Millet,26.5,579,0
1784,Maize,26.5,160,0
1785,Rice,32.0,327,1
1786,Tomato,25.4,507,0
1787,Cotton,29.7,492,0
1788,Tomato,29.8,641,0
1789,Maize,33.9,555,0
1790,Millet,34.6,486,0
1791,Cotton,29.0,234,0
1792,Rice,30.6,428,0
1793,Banana,30.9,664,0
1794,Tomato,30.0,593,0
1795,Maize,31.5,391,1
1796,Cotton,26.2,754,0
1797,Rice,34.4,845,0
1798,Banana,33.5,159,1
1799,Banana,32.3,730,0
1800,Millet,32.0,631,0
1801,Banana,24.6,787,0
1802,Maize,25.8,381,0
1803,Rice,27.0,430,0
1804,Millet,24.3,763,0
1805,Rice,34.3,734,0
1806,Banana,26.9,158,1
1807,Tomato,29.7,596,0
1808,Banana,33.4,491,0
1809,Banana,29.0,495,0
1810,Tomato,25.8,270,0
1811,Maize,27.0,306,0
1812,Rice,34.4,174,1
1813,Banana,32.1,599,0
1814,Cotton,28.3,168,0
1815,Rice,32.4,395,1
1816,Cotton,28.5,256,0
1817,Maize,24.6,271,0
1818,Millet,28.4,158,0
1819,Banana,33.3,558,0
1820,Millet,30.7,825,0
1821,Tomato,34.9,840,0
1822,Millet,34.0,535,0
1823,Tomato,25.3,527,0
1824,Banana,33.5,423,1
1825,Banana,24.2,373,0
1826,Banana,33.4,181,1
1827,Banana,29.9,438,1
1828,Millet,31.0,563,0
1829,Maize,24.9,837,0
1830,Maize,28.5,803,0
1831,Cotton,27.7,411,0
1832,Maize,27.9,705,0
1833,Rice,25.4,621,0
1834,Banana,24.7,360,0
1835,Banana,25.6,571,0
1836,Tomato,32.9,775,0
1837,Banana,28.2,365,1
1838,Tomato,33.1,222,1
1839,Rice,28.3,477,0
1840,Banana,28.6,668,0
1841,Banana,34.9,455,0
1842,Tomato,24.6,358,0
1843,Maize,31.9,740,0
1844,Rice,25.4,396,0
1845,Tomato,30.5,354,0
1846,Banana,34.1,695,0
1847,Millet,26.9,834,0
1848,Cotton,24.2,241,0
1849,Tomato,31.2,685,0
1850,Maize,25.9,768,0
1851,Rice,24.5,678,0
1852,Banana,31.5,381,1
1853,Rice,28.7,485,0
1854,Maize,33.5,620,0
1855,Cotton,28.2,390,0
1856,Rice,26.4,677,0
1857,Millet,32.7,473,0
1858,Banana,33.7,465,0
1859,Banana,31.6,795,0
1860,Millet,33.3,632,0
1861,Banana,26.6,290,1
1862,Rice,33.9,615,0
1863,Maize,24.1,740,0
1864,Millet,27.0,182,0
1865,Tomato,31.4,316,0
1866,Cotton,33.4,317,1
1867,Cotton,31.9,396,0
1868,Maize,30.5,660,0
1869,Rice,33.3,503,0
1870,Tomato,28.7,808,0
1871,Maize,31.0,714,0
1872,Rice,24.8,681,0
1873,Millet,28.1,517,0
1874,Rice,33.2,476,0
1875,Rice,33.3,834,0
1876,Cotton,34.8,580,0
1877,Cotton,34.3,654,0
1878,Millet,24.2,629,0
1879,Rice,30.0,791,0
1880,Rice,33.0,746,0
1881,Banana,26.0,797,0
1882,Cotton,33.0,544,0
1883,Millet,35.0,772,0
1884,Banana,33.1,426,1
1885,Millet,34.8,529,0
